trial,arm,order_id,side,intended_size,filled_size,fill_rate,decision_price,avg_fill_price,implementation_shortfall,vwap_slippage,timed_out,tick_to_trade_us,fees_paid
50,naive,4,SELL,7672,7672,1,9151.5,9132.19,148152,19.2613,0,529.9,5.37167
50,naive,5,SELL,5943,5576,0.938247,9023.5,9014.63,49470,2.25399,1,936.8,2.97892
51,naive,0,SELL,1247,1247,1,9996,9995,1247,-13.711,0,390.5,1.18287
51,naive,1,BUY,1334,1334,1,10005,10015.8,14445,-3.2691,0,418.5,0.569063
51,naive,2,BUY,5151,5151,1,10474,10475.9,9539,-11.1481,0,421.5,2.19733
51,naive,3,BUY,7119,1155,0.162242,10840.5,10880.6,46329.5,76.9638,1,523.7,0.883675
51,naive,4,BUY,2607,2607,1,10791.5,10815.6,62884.5,32.9694,0,862.7,2.00627
51,naive,5,SELL,7837,7837,1,10591.5,10561.1,238208,30.3952,0,634.6,5.39195
52,naive,0,SELL,4119,4119,1,9857,9854.24,11366,2.75941,0,132.9,3.90717
52,naive,1,BUY,1272,1272,1,9954.5,9961.58,9012,7.08491,0,427.6,0.542615
52,naive,2,BUY,7728,7004,0.906315,9951,10060.8,768861,10.4739,1,21975.2,6.64381
52,naive,3,SELL,2777,2777,1,9770,9735.43,96004,34.5711,0,126.7,2.63419
52,naive,4,SELL,7877,7877,1,9685.5,9650.89,272598,34.6069,0,138,7.47191
52,naive,5,BUY,9031,9031,1,9072.5,9086.94,130366,14.4354,0,483.3,3.85248
53,naive,0,SELL,1584,1584,1,9566,9560.18,9212,5.00373,0,102.2,1.50254
53,naive,1,SELL,8398,8398,1,9393.5,9379.38,118565,10.6868,0,426.2,3.58245
53,naive,2,BUY,8825,8825,1,9143,9156.47,118882,13.471,0,471.4,3.7646
53,naive,3,BUY,6275,6275,1,9288,9322.95,219317,25.0644,0,426,2.67681
53,naive,4,BUY,8566,8566,1,9314.5,9384.71,601408,70.2087,0,650.1,8.06858
53,naive,5,SELL,1761,1761,1,9743.5,9742.63,1532.5,0.870244,0,17984.9,0.751214
54,naive,0,SELL,2852,2852,1,10145,10144.4,1726,0.605189,0,420.5,1.21662
54,naive,1,SELL,7239,7239,1,10074.5,10123.2,-352290,-116.165,0,7453.3,3.08804
54,naive,2,BUY,5488,5488,1,9836.5,9856.09,107531,24.7215,0,422.8,2.34109
54,naive,3,BUY,8135,8135,1,9307.5,9360.68,432603,53.1779,0,146.7,7.71665
