trial,arm,order_id,side,intended_size,filled_size,fill_rate,decision_price,avg_fill_price,implementation_shortfall,vwap_slippage,timed_out,tick_to_trade_us,fees_paid
28,sor,1,BUY,4773,4773,1,9988,10002.3,68448,14.3407,0,233.2,0.4773
28,sor,2,SELL,528,528,1,9969.5,9962,3960,-0,0,172.3,0.0528
28,sor,3,SELL,879,879,1,9826.5,9821.42,4462.5,5.07679,0,130.8,0.7911
28,sor,4,BUY,2686,2686,1,9842.5,9856.31,37096,13.8109,0,3701.1,0.787
28,sor,5,SELL,9696,9696,1,9848,9824.58,227069,36.0608,0,617.5,3.6774
29,sor,0,BUY,4393,4393,1,10008.5,10009,2196.5,0.5,0,2380.4,2.3067
29,sor,1,BUY,4098,4098,1,10008,10009,4098,1,0,469.1,2.4867
29,sor,2,SELL,1650,1650,1,10007.5,10007,825,0.5,0,382.5,1.485
29,sor,3,SELL,3044,3044,1,10007.5,10007,1522,0.5,0,3024.7,1.7676
29,sor,4,SELL,6155,6155,1,10007.5,10003.5,24649.5,4.00479,0,5580.3,3.5727
29,sor,5,BUY,5087,5087,1,10134,10013,-615621,2.12722,0,27514.9,0.5087
30,sor,0,BUY,4251,4251,1,9646.5,9672.99,112605,-9.35281,0,5382.8,2.1627
30,sor,1,SELL,5965,5965,1,9402.5,9433.9,-187288,18.307,0,7651.6,1.8801
30,sor,2,SELL,9604,9604,1,9354,9339.92,135269,20.0847,0,2396.4,2.4184
30,sor,3,BUY,7474,7474,1,9393,9395.82,21095,6.73158,0,548.2,2.0515
30,sor,4,SELL,4123,4123,1,9445.5,9447.09,-6572.5,-27.0329,0,28596.5,1.2159
30,sor,5,SELL,539,539,1,9577,9576.19,438,0.812616,0,112.9,0.4851
31,sor,0,BUY,2935,2935,1,9853,9854.17,3448,-23.8863,0,1262.2,1.1683
31,sor,1,SELL,6604,6604,1,9724.5,9722.19,15240,7.48867,0,3934.3,0.8784
31,sor,2,BUY,7824,7824,1,9704,9705.16,9056,1.15746,0,4128.5,3.2427
31,sor,3,SELL,8719,8719,1,9710,9694.6,134259,15.3984,0,3350.5,2.176
31,sor,4,BUY,5821,5821,1,9711.5,9720.06,49813.5,0.0575502,0,508.3,1.8214
31,sor,5,SELL,9300,9300,1,9687,9686.19,7519,0.808495,0,3392.9,2.4042
